Active Internet connections (including servers)
Proto Recv-Q Send-Q  Local Address          Foreign Address        (state)    
tcp4       0      0  172.16.16.2.53383      34.106.8.177.443       ESTABLISHED
tcp4       0      0  172.16.16.2.53382      34.106.8.177.443       ESTABLISHED
tcp4       0      0  172.16.16.2.53383      34.106.8.177.443       CLOSED     
tcp4       0      0  172.16.16.2.53382      34.106.8.177.443       CLOSED     
tcp4       0      0  172.16.16.2.53381      34.106.8.177.443       ESTABLISHED
tcp4       0      0  172.16.16.2.53381      34.106.8.177.443       CLOSED     
tcp4       0      0  172.16.16.2.53364      35.190.80.1.443        ESTABLISHED
tcp4       0      0  172.16.16.2.53364      35.190.80.1.443        CLOSED     
tcp4       0      0  172.16.16.2.53363      34.111.72.164.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53363      34.111.72.164.443      CLOSED     
tcp4       0      0  172.16.16.2.53354      146.75.33.91.443       ESTABLISHED
tcp4       0      0  172.16.16.2.53354      146.75.33.91.443       CLOSED     
tcp4       0      0  192.168.0.102.443      35.183.94.134.62231    ESTABLISHED
tcp4       0      0  172.16.16.2.53353      142.167.238.80.443     ESTABLISHED
tcp4       0      0  172.16.16.2.53353      142.167.238.80.443     CLOSED     
tcp4       0      0  172.16.16.2.53352      142.251.41.65.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53352      142.251.41.65.443      CLOSED     
tcp4       0      0  172.16.16.2.53351      142.167.238.80.443     CLOSE_WAIT 
tcp4      24      0  172.16.16.2.53351      142.167.238.80.443     CLOSED     
tcp4       0      0  172.16.16.2.53350      142.250.80.78.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53350      142.250.80.78.443      CLOSED     
tcp4       0      0  172.16.16.2.53349      142.251.41.36.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53349      142.251.41.36.443      CLOSED     
tcp4       0      0  172.16.16.2.53348      142.251.41.34.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53348      142.251.41.34.443      CLOSED     
tcp4       0      0  172.16.16.2.53347      142.251.41.34.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53346      142.251.41.65.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53347      142.251.41.34.443      CLOSED     
tcp4       0      0  172.16.16.2.53346      142.251.41.65.443      CLOSED     
tcp4       0      0  172.16.16.2.53345      172.64.145.17.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53345      172.64.145.17.443      CLOSED     
tcp4       0      0  172.16.16.2.53344      142.251.41.34.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53344      142.251.41.34.443      CLOSED     
tcp4       0      0  172.16.16.2.53343      104.22.12.151.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53343      104.22.12.151.443      CLOSED     
tcp4       0      0  172.16.16.2.53342      3.162.3.40.443         ESTABLISHED
tcp4       0      0  172.16.16.2.53342      3.162.3.40.443         CLOSED     
tcp4       0      0  172.16.16.2.53340      146.75.34.217.443      ESTABLISHED
tcp4       0      0  172.16.16.2.53340      146.75.34.217.443      CLOSED     
tcp4       0      0  172.16.16.2.53339      20.40.202.2.443        ESTABLISHED
tcp4       0      0  172.16.16.2.53339      20.40.202.2.443        CLOSED     
tcp4       0      0  172.16.16.2.53338      34.107.254.252.443     ESTABLISHED
tcp4       0      0  172.16.16.2.53338      34.107.254.252.443     CLOSED     
tcp4       0      0  172.16.16.2.53336      104.18.166.224.443     ESTABLISHED
tcp4       0      0  172.16.16.2.53335      104.18.166.224.443     ESTABLISHED
tcp4       0      0  172.16.16.2.53336      104.18.166.224.443     CLOSED     
tcp4       0      0  172.16.16.2.53335      104.18.166.224.443     CLOSED     
tcp4       0      0  172.16.16.2.53334      3.161.213.101.443      ESTABLISHED
